category,item_purchased,transaction_count,total_revenue,avg_purchase_amount,avg_review_rating,discounted_count,subscriber_count,discount_penetration_pct,subscriber_share_pct
Accessories,Backpack,143,8636,60.39160839160839,3.7524475524475527,64,43,44.75524475524475,30.069930069930066
Accessories,Belt,161,9635,59.84472049689441,3.7639751552795033,72,39,44.72049689440994,24.22360248447205
Accessories,Gloves,140,8477,60.55,3.8614285714285717,60,38,42.857142857142854,27.142857142857142
Accessories,Handbag,153,8857,57.888888888888886,3.775163398692811,61,39,39.869281045751634,25.49019607843137
Accessories,Hat,154,9375,60.87662337662338,3.801298701298701,77,47,50.0,30.519480519480517
Accessories,Jewelry,171,10010,58.538011695906434,3.7590643274853797,76,43,44.44444444444444,25.146198830409354
Accessories,Scarf,157,9561,60.89808917197452,3.7070063694267517,67,42,42.675159235668794,26.751592356687897
Accessories,Sunglasses,161,9649,59.93167701863354,3.7521739130434786,66,43,40.993788819875775,26.70807453416149
Clothing,Blouse,171,10410,60.87719298245614,3.680701754385965,58,28,33.91812865497076,16.374269005847953
Clothing,Dress,166,10320,62.16867469879518,3.7493975903614456,75,48,45.18072289156627,28.915662650602407
Clothing,Hoodie,151,8767,58.05960264900662,3.7165562913907286,68,43,45.033112582781456,28.47682119205298
Clothing,Jeans,124,7548,60.87096774193548,3.648387096774193,57,39,45.96774193548387,31.451612903225808
Clothing,Pants,171,10090,59.005847953216374,3.7204678362573103,81,49,47.368421052631575,28.654970760233915
Clothing,Shirt,169,10332,61.13609467455621,3.622485207100592,71,46,42.01183431952663,27.218934911242602
Clothing,Shorts,157,9433,60.0828025477707,3.714012738853503,68,44,43.31210191082803,28.02547770700637
Clothing,Skirt,158,9402,59.50632911392405,3.7848101265822787,61,39,38.607594936708864,24.68354430379747
Clothing,Socks,159,9252,58.18867924528302,3.7547169811320753,52,34,32.70440251572327,21.38364779874214
Clothing,Sweater,164,9462,57.69512195121951,3.7597560975609756,79,52,48.170731707317074,31.70731707317073
Clothing,T-shirt,147,9248,62.91156462585034,3.7782312925170065,61,35,41.49659863945578,23.809523809523807
Footwear,Boots,144,9018,62.625,3.8187499999999996,67,42,46.52777777777778,29.166666666666668
Footwear,Sandals,160,9200,57.5,3.8443750000000003,59,40,36.875,25.0
Footwear,Shoes,150,9240,61.6,3.750666666666667,61,45,40.666666666666664,30.0
Footwear,Sneakers,145,8635,59.55172413793103,3.7579310344827586,72,44,49.6551724137931,30.344827586206897
Outerwear,Coat,161,9275,57.608695652173914,3.728571428571428,79,51,49.06832298136646,31.67701863354037
Outerwear,Jacket,163,9249,56.74233128834356,3.76319018404908,65,40,39.87730061349693,24.539877300613497
